Id,GINNo,GINId,POId,Qty,ReceivedQty,ACategoyId,ASubCategoyId
47564,1231,14449,55150,1.0,1.0,0,0
47565,1231,14449,55151,1.0,1.0,0,0
47566,1231,14449,55152,1.0,1.0,0,0
47567,1231,14449,55153,1.0,1.0,0,0
47568,1231,14449,55154,2.0,2.0,0,0
47569,1231,14449,55155,3.0,3.0,0,0
47570,1231,14449,55156,1.0,1.0,0,0
47571,1231,14449,55157,1.0,1.0,0,0
47572,1231,14449,55158,1.0,1.0,0,0
47573,1231,14449,55159,1.0,1.0,0,0
47574,1231,14449,55160,1.0,1.0,0,0
47575,1231,14449,55161,1.0,1.0,0,0
47576,1232,14450,55173,1.0,1.0,0,0
47577,1232,14450,55174,2.0,2.0,0,0
47578,1232,14450,55175,2.0,2.0,0,0
47579,1232,14450,55176,1.0,1.0,0,0
47580,1232,14450,55177,1.0,1.0,0,0
47581,1232,14450,55178,1.0,1.0,0,0
47582,1232,14450,55179,1.0,1.0,0,0
47583,1232,14450,55180,1.0,1.0,0,0
47584,1232,14450,55181,1.0,1.0,0,0
47585,1232,14450,55182,2.0,2.0,0,0
47586,1232,14450,55183,3.0,3.0,0,0
47587,1232,14450,55184,1.0,1.0,0,0
47588,1232,14450,55185,2.0,2.0,0,0
47589,1232,14450,55186,1.0,1.0,0,0
47590,1232,14450,55187,2.0,2.0,0,0
47591,1232,14450,55188,2.0,2.0,0,0
47592,1232,14450,55189,2.0,2.0,0,0
47593,1232,14450,55190,6.0,6.0,0,0
47594,1232,14450,55191,2.0,2.0,0,0
47595,1232,14450,55192,6.0,6.0,0,0
47596,1232,14450,55193,1.0,1.0,0,0
47597,1232,14450,55194,2.0,2.0,0,0
47598,1232,14450,55195,2.0,2.0,0,0
47599,1232,14450,55196,2.0,2.0,0,0
47600,1232,14450,55197,1.0,1.0,0,0
47601,1232,14450,55198,1.0,1.0,0,0
47602,1232,14450,55199,2.0,2.0,0,0
47603,1232,14450,55200,4.0,4.0,0,0
47604,1232,14450,55201,2.0,2.0,0,0
47605,1232,14450,55202,2.0,2.0,0,0
47606,1232,14450,55203,2.0,2.0,0,0
47607,1232,14450,55204,2.0,2.0,0,0
47608,1232,14450,55205,2.0,2.0,0,0
47609,1232,14450,55206,2.0,2.0,0,0
47610,1232,14450,55207,1.0,1.0,0,0
47611,1232,14450,55208,4.0,4.0,0,0
47612,1232,14450,55209,4.0,4.0,0,0
47613,1232,14450,55210,1.0,1.0,0,0
47614,1232,14450,55211,1.0,1.0,0,0
47615,1232,14450,55212,2.0,2.0,0,0
47616,1233,14451,55213,1.0,1.0,0,0
47617,1233,14451,55214,2.0,2.0,0,0
47618,1233,14451,55215,2.0,2.0,0,0
47619,1233,14451,55216,1.0,1.0,0,0
47620,1233,14451,55217,1.0,1.0,0,0
47621,1233,14451,55218,1.0,1.0,0,0
47622,1233,14451,55219,2.0,2.0,0,0
47623,1233,14451,55220,1.0,1.0,0,0
47624,1233,14451,55221,1.0,1.0,0,0
47625,1233,14451,55222,2.0,2.0,0,0
47626,1233,14451,55223,1.0,1.0,0,0
47627,1233,14451,55225,2.0,2.0,0,0
47628,1233,14451,55226,1.0,1.0,0,0
47629,1233,14451,55228,1.0,1.0,0,0
47630,1233,14451,55230,1.0,1.0,0,0
47631,1233,14451,55231,2.0,2.0,0,0
47632,1233,14451,55233,4.0,4.0,0,0
47633,1233,14451,55234,1.0,1.0,0,0
47634,1233,14451,55235,1.0,1.0,0,0
47635,1233,14451,55236,1.0,1.0,0,0
